Item,Element,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Sugar non-centrifugal,Food supply quantity (kg/capita/yr),kg/cap,3.11,1.08,1.16,1.28,1.82,1.57,1.79,0.98,0.86,1.04,1.23,2.01,0.78,1.89
Sunflowerseed Oil,Food supply quantity (kg/capita/yr),kg/cap,0.5,0.6,0.56,0.67,0.41,0.23,0.02,0.0,0.04,0.02,0.03,0.0,0.03,0.05
Sweet potatoes,Food supply quantity (kg/capita/yr),kg/cap,0.05,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.08
"Sweeteners, Other",Food supply quantity (kg/capita/yr),kg/cap,0.29,0.24,0.2,0.27,0.37,0.32,0.39,0.33,0.27,0.36,0.36,0.46,0.34,0.43
Tea (including mate),Food supply quantity (kg/capita/yr),kg/cap,0.46,0.57,0.56,0.57,0.68,0.74,0.82,0.8,0.87,0.86,0.89,1.05,1.0,0.95
Tomatoes and products,Food supply quantity (kg/capita/yr),kg/cap,2.56,3.02,3.7,3.76,3.89,3.63,3.53,2.64,2.96,3.2,3.82,4.69,4.37,4.07
"Vegetables, other",Food supply quantity (kg/capita/yr),kg/cap,14.19,12.81,12.5,13.24,12.17,12.56,13.42,15.06,15.42,15.36,20.5,21.72,19.07,18.87
Wheat and products,Food supply quantity (kg/capita/yr),kg/cap,114.12,96.99,105.95,105.32,98.5,98.68,99.75,101.75,100.5,106.97,108.46,110.97,108.69,108.66
Wine,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yams,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02,0.02,0.01
Apples and products,Protein supply quantity (g/capita/day),g/cap/d,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
"Aquatic Animals, Others",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bananas,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01
Barley and products,Protein supply quantity (g/capita/day),g/cap/d,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01
Beans,Protein supply quantity (g/capita/day),g/cap/d,0.39,0.53,0.45,0.53,0.51,0.53,0.65,0.62,0.56,0.57,0.91,0.91,0.63,0.63
Beer,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beverages, Alcoholic",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beverages, Fermented",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bovine Meat,Protein supply quantity (g/capita/day),g/cap/d,3.48,3.51,3.54,3.6,3.64,3.69,3.78,4.3,4.37,4.41,4.47,4.54,4.34,4.38
"Butter, Ghee",Protein supply quantity (g/capita/day),g/cap/d,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.07
Cassava and products,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01
"Cereals, other",Protein supply quantity (g/capita/day),g/cap/d,0.02,0.01,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.0,0.0,0.02
"Citrus, Other",Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Cloves,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cocoa Beans and products,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02
Coconut Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0
Coconuts - Incl Copra,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Coffee and products,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cottonseed Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cream,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crustaceans,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.0,0.01,0.02,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01
Dates,Protein supply quantity (g/capita/day),g/cap/d,0.08,0.09,0.07,0.07,0.08,0.06,0.05,0.05,0.06,0.08,0.08,0.13,0.03,0.07
Demersal Fish,Protein supply quantity (g/capita/day),g/cap/d,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
Eggs,Protein supply quantity (g/capita/day),g/cap/d,0.75,0.79,0.79,0.81,0.84,0.86,0.9,0.95,0.99,1.02,1.06,1.1,1.16,1.2
"Fats, Animals, Raw",Protein supply quantity (g/capita/day),g/cap/d,0.14,0.14,0.14,0.14,0.14,0.15,0.15,0.18,0.18,0.18,0.18,0.18,0.17,0.17
"Fish, Liver Oil",Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freshwater Fish,Protein supply quantity (g/capita/day),g/cap/d,0.39,0.38,0.38,0.36,0.35,0.36,0.37,0.36,0.35,0.29,0.28,0.28,0.27,0.27
"Fruits, other",Protein supply quantity (g/capita/day),g/cap/d,0.43,0.4,0.39,0.37,0.38,0.39,0.38,0.37,0.37,0.38,0.37,0.18,0.19,0.17
Grapefruit and products,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grapes and products (excl wine),Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02
Groundnut Oil,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Groundnuts,Protein supply quantity (g/capita/day),g/cap/d,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Honey,Protein supply quantity (g/capita/day),g/cap/d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Infant food,Protein supply quantity (g/capita/day),g/cap/d,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01
