Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2011,2011,g/cap/d,1.31,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2011,2011,g/cap/d,0.54,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2012,2012,kg/cap,6.44,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2012,2012,g/cap/d,1.2,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2012,2012,g/cap/d,0.49,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2013,2013,kg/cap,6.44,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2013,2013,g/cap/d,1.2,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2013,2013,g/cap/d,0.49,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2014,2014,kg/cap,6.28,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2014,2014,g/cap/d,1.12,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2014,2014,g/cap/d,0.46,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2015,2015,kg/cap,6.26,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2015,2015,g/cap/d,1.11,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2015,2015,g/cap/d,0.46,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2016,2016,kg/cap,4.9,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2016,2016,g/cap/d,0.87,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2016,2016,g/cap/d,0.36,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2017,2017,kg/cap,4.85,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2017,2017,g/cap/d,0.86,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2017,2017,g/cap/d,0.36,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2018,2018,kg/cap,5.17,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2018,2018,g/cap/d,0.92,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2018,2018,g/cap/d,0.38,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2019,2019,kg/cap,4.83,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2019,2019,g/cap/d,0.86,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2019,2019,g/cap/d,0.35,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2020,2020,kg/cap,5.7,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2020,2020,g/cap/d,1.01,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2020,2020,g/cap/d,0.42,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2021,2021,kg/cap,7.27,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2021,2021,g/cap/d,1.29,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2021,2021,g/cap/d,0.53,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2022,2022,kg/cap,5.61,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2022,2022,g/cap/d,1,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2022,2022,g/cap/d,0.41,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2514,Maize and products,2023,2023,kg/cap,6.43,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2514,Maize and products,2023,2023,g/cap/d,1.14,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2514,Maize and products,2023,2023,g/cap/d,0.47,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2516,Oats,2010,2010,kg/cap,0,E,Estimated value,
